raw_content,clean_content
The click bait titles arent necessary ??,click bait title arent necessary
So many mohameds,many mohameds
Subscribed????thank you Bye!,subscribedthank bye
Your intros make me want to unsubscribe just so I can subscribe all over again. ??,intro make want unsubscribe subscribe
"They are all monsters in that area 

Satan or Mohammad??s are everywhere",monster area satan mohammad everywhere
its DISTURBing how good the intros are,disturbing good intro
"Maybe if he was called Mohamit, he would not have been tortured ..",maybe called mohamit would not tortured
Stormchaser is having a bad day obviously & they took it out on you! ??,stormchaser bad day obviously took
That private clinic doctor should've alerted the authorities!!,private clinic doctor shouldve alerted authority
There are some sick sick fellas on this earth.,sick sick fella earth
"They may have started with the intention of beating him up....
BUT....
I don't know what results they were expecting the moment they brought out the iron....
It was nothing less than torture....
They knew that what they were doing was FAR MORE SERIOUS & yet....
They were all still happy to continue going through with it....
I think it's Disgusting how originally they were only being charged with Culpable Homicide....
I was happy to hear that the Parents appealed it & won changing it to Mirder....
Though I felt absolutely gutted when it got dropped back to basically Manslaughter....
I can't imagine how his Parents felt....
The moment those Boys made the decision of NOT Taking Him To The Hospital....
Especially after being firmly advised to by a Dr at the Clinic...
Surely....
You would have thought that would be the deciding factor on whether or not it was Murder or Manslaughtet....
They knew he was in a very bad way as they were worried enough to take him to a clinic....
The only thing that stopped them from taking him to the Hospital where they knew he needed to be  was the worry & fear of getting into trouble & told off.",may started intention beating dont know result expecting moment brought iron nothing less torture knew far serious yet still happy continue going think disgusting originally charged culpable homicide happy hear parent appealed changing mirder though felt absolutely gutted got dropped back basically manslaughter cant imagine parent felt moment boy made decision not taking hospital especially firmly advised dr clinic surely would thought would deciding factor whether not murder manslaughtet knew bad way worried enough take clinic thing stopped taking hospital knew needed worry fear getting trouble told
Subscribe please thank ya bye!!!! ????????,subscribe please thank ya bye
"I'm Malaysian, and I remember when this happened. After hearing about it, my parents and aunts refused to even entertain the idea of letting me enroll in any kind of boarding school. Bullying cases here are just through the roof at those kinds of places, but back then, people didn??t really care. But this was one of the most gruesome cases, though, and left a huge impact. My deepest condolences to the family.",im malaysian remember happened hearing parent aunt refused even entertain idea letting enroll kind boarding school bullying case roof kind place back people didnt really care one gruesome case though left huge impact deepest condolence family
WHAT THE ACTUAL F**K IS WRONG WITH THIS DOCTOR?! Dude saw wounds made with irion and told them to go to the hospital? You kidding me? He should've called the cops the moment he saw the boy.,actual fk wrong doctor dude saw wound made irion told go hospital kidding shouldve called cop moment saw boy
well well well its the religion of peace again,well well well religion peace
Bro you look so cool wth,bro look cool wth
Subscribe or not. If you enjoyed the video and the creator served their purpose of entertainment  then throw a like. It??s rude not too.,subscribe not enjoyed video creator served purpose entertainment throw like rude not
How could a doctor not tell straight away that it wasn't an explosion and was iron burns. No doubt this is the quality we get when we need doctors to immigrate here.,could doctor not tell straight away wasnt explosion iron burn no doubt quality get need doctor immigrate
You and bizarre bazaar are the best true crime channels on youtube. I have watched your channel for quite a long time and always liked the interesting cases you cover! ????,bizarre bazaar best true crime channel youtube watched channel quite long time always liked interesting case cover
"These guys all have the same name?
Also i wonder what was on that laptop",guy name also wonder laptop
"As a kid. I feell and got a hot folding iron down on me arm.
I still remember that pain. To today.
This is insane..",kid feell got hot folding iron arm still remember pain today insane
5 muhammads bruv... of course.. they made their prophet really proud that day... animal religion,muhammad bruv course made prophet really proud day animal religion
sadistic torture? 18 years are you freaking kidding me? RIP Zulkarnain.,sadistic torture year freaking kidding rip zulkarnain
The sick fucks knew he never took  that laptop.,sick fuck knew never took laptop
"All this over a computer, deranged.",computer deranged
There??s always a Muhammad . They??re Muslim and it??s a sin or haram to behave like this yet they use Islam to justify their actions. Barbaric behaviour,there always muhammad theyre muslim sin haram behave like yet use islam justify action barbaric behaviour
15:47 Fight back? How could he possibly have fought back against that many attackers? It would have been pointless.,fight back could possibly fought back many attacker would pointless
"Sounds like Envy, and they probably had Questionable photos on themselves on the computer.",sound like envy probably questionable photo computer
Man I haven??t even viewed the content yet how the hell do I know if I??m gonna subscribe or not?? Ah damn I??m already a long time subscriber ????????,man havent even viewed content yet hell know im gonna subscribe not ah damn im already long time subscriber
"Its disgusting that they basically got away with it, his mothers better than me, i would never forgive them, ever",disgusting basically got away mother better would never forgive ever
"4 years in there prison is a life sentence, they dont keep records properly, so you basically just stay there forever cuz they dont when you got there and how long you were suppose to stay there.",year prison life sentence dont keep record properly basically stay forever cuz dont got long suppose stay
Now im starting to wonder WTF was on that computer,im starting wonder wtf computer
"I have been watching this channel for several months.
The intro convinced me to thumbs up and subscribe",watching channel several month intro convinced thumb subscribe
I??m not gonna lie??. This one sucked. Not in a bad way to you Disturban??. But I have a son his age who is a Guardian in the Space Force. It made me sick.,im not gonna lie one sucked not bad way disturban son age guardian space force made sick
This story again?  Hmmm.... where have i already heard it?  Oh yes....just about every other crime channel.... (eye roll),story hmmm already heard oh yesjust every crime channel eye roll
Humanity is beyond cooked. We're already DONE.,humanity beyond cooked already done
I feel like I've seen u cover this case before....maybe it was lazy masquerade or bizarre bazaar. I watch too many true crime channels with British  accents ???? but I know I've heard this case before,feel like ive seen u cover case beforemaybe lazy masquerade bizarre bazaar watch many true crime channel british accent know ive heard case
"If not capital, at least ad eternum??",not capital least ad eternum
"I still couldn't bring myself to read the extent of his torture without sobbing. It's terrifying to imagine what he went through, yet those monsters had no problem carrying it out with their own hands. If suhakam thinks that death penalty is inhumane and barbaric, well imo it suits the monsters perfectly. As a Malaysian, I still don't think they should escape death penalty, but the verdict is out. I just hope for people to always remember Zulfarhan. But most importantly, remember his killers. Remember their names, their faces, they shouldn't be let off easy.",still couldnt bring read extent torture without sobbing terrifying imagine went yet monster no problem carrying hand suhakam think death penalty inhumane barbaric well imo suit monster perfectly malaysian still dont think escape death penalty verdict hope people always remember zulfarhan importantly remember killer remember name face shouldnt let easy
How the hell did the doctor not get life in prison for malpractice? Third worlders man...,hell doctor not get life prison malpractice third worlders man
I was hoping to find out what happened to the laptop.,hoping find happened laptop
"To be fair incessant subscriber begging has made me unsub from several channels in the past but these are the videos that put it like 3 times in a 10 minute video, start, middle and finish. Shits annoying.",fair incessant subscriber begging made unsub several channel past video put like time minute video start middle finish shit annoying
"Even if the courts do the wacky mental gymnastics to pretend that the initial torture didn't have an intent to kill (which is wholly absurd), the follow-on withholding of proper medical attention should have removed all 'reasonable doubt' that they somehow didn't have murderous intent.",even court wacky mental gymnastics pretend initial torture didnt intent kill wholly absurd followon withholding proper medical attention removed reasonable doubt somehow didnt murderous intent
Great story teller ????,great story teller
I think if you posted snippets of vids on shorts you might be able to pull that last 136k!,think posted snippet vids short might able pull last k
I I wonder if they even ever found the laptop.    That alone would have shown that it was never stolen from him,wonder even ever found laptop alone would shown never stolen
no quick fish face greeting bro,no quick fish face greeting bro
The way you approach telling viewers to subscribe immediately makes me like your channel more though ??,way approach telling viewer subscribe immediately make like channel though
Brother??at this point just stop begging for subs. I promise it will result in more subs.,brotherat point stop begging sub promise result sub
"had to rewind 0:00 few times - haha, nice pout xD",rewind time haha nice pout xd
The smallest minds cause the greatest harm.,smallest mind cause greatest harm
"Barbarians, what a joke of a legal system.",barbarian joke legal system
i had to rewind to hear what he said xD but by then id already liked the video and i subscribed years ago so... kindve a moot point for me ??,rewind hear said xd id already liked video subscribed year ago kindve moot point
"Man gets to the point, if he was fucking wendigoon we would of had a 15 minute intro of dumb information and stupid shit.,",man get point fucking wendigoon would minute intro dumb information stupid shit
all that over a stupid laptop....???!!!,stupid laptop
And no one knows what happened to the laptop ?! ??,no one know happened laptop
"The main torturers names being Mohammed, Mohammed, Mohammed, Mohammed and Abdoul is crazy.",main torturer name mohammed mohammed mohammed mohammed abdoul crazy
Best intros ever I decided.,best intro ever decided
They didnt show intent but didnt apologize???,didnt show intent didnt apologize
Over a phuking laptop?! Makes you want to believe in God doesn't it...,phuking laptop make want believe god doesnt
Seems a lot more morbid and gruesome in nature.,seems lot morbid gruesome nature
Such corruption,corruption
I??m already subscrimbled but I appreciate the kissy face ????,im already subscrimbled appreciate kissy face
How did nobody in authority notice?,nobody authority notice
"14:07 - You mean ??THE MEAN 6??????
             ????????????",mean mean
But they didn't call him any real medical help....... n after having a doctor tell them 2 times he needed urgent care.....they still didn't have him seen too......surely that equats to murder....n how many people just burn you with an iron ffs ??......human justice systems are actually broke !!!,didnt call real medical help n doctor tell time needed urgent carethey still didnt seen toosurely equats murdern many people burn iron ffs human justice system actually broke
"What religion are they? Oh wait, the medieval one. Surprise surprise.",religion oh wait medieval one surprise surprise
"Sounds like they didn??t want a confession to begin with, sounds more like they were irritated by his light and needed a reason to hurt him.",sound like didnt want confession begin sound like irritated light needed reason hurt
So weird could've swore he's done this video b4 it's like deja vu wtf wild af,weird couldve swore he done video b like deja vu wtf wild af
The Dr that treated him should be charged to....i mean he didn't think to call authorities! Man this pisses me off!,dr treated charged toi mean didnt think call authority man piss
"You should do an episode on Jamal khashoggi. Dude??s literally flew to turkey, dismembered him with bone saws then flew back to Saudi Arabia within a day. Idk if there??s enough confirmed details about how it was carried out but I think it would be an interesting video.",episode jamal khashoggi dude literally flew turkey dismembered bone saw flew back saudi arabia within day idk there enough confirmed detail carried think would interesting video
"Mr Disturban, will you marry me? ?",mr disturban marry
"Buddy probably had over a terabyte of cp, grape and assault footages on that laptop",buddy probably terabyte cp grape assault footage laptop
I've never wanted to reach through time and space and wrap my arms around someone so much. This poor bloke ??,ive never wanted reach time space wrap arm around someone much poor bloke
"That's a great way to start a video,  straight to the point.  Hi from Ireland ???? and God bless EVERYONE ???.
That's so sad??????, where did the laptop go?",thats great way start video straight point hi ireland god bless everyone thats sad laptop go
I'm still wondering if they ever found the laptop and why it was just so important ??,im still wondering ever found laptop important
Always feels strange to click a like button for this type of media.,always feel strange click like button type medium
Theres always a mohammed involved,there always mohammed involved
The law has failed the victim miserably.,law failed victim miserably
"10 days and no one from his family or friends reported him missing? How?!!??!
Second thing, I think they were jealous of him, and that missing laptop was just a trap for him and some kind of excuse for them later in court.",day no one family friend reported missing second thing think jealous missing laptop trap kind excuse later court
How does one person do this to another person? Who's raising these people? My kids better never...,one person another person who raising people kid better never
Maybe the other convicts those 6 animals are locked up with will mete out the justice they deserve cause the courts failed in their duty.,maybe convict animal locked mete justice deserve cause court failed duty
"Restaurant quality content, salute.??",restaurant quality content salute
"""The Dr. again dressed his wounds and suggested they take him to the hospital immediately but it was already too late!""

""OH WHAT FUN IT IS TO RIDE ON A ONE HORSE OPEN SLEIGH!!"" God damn stupid fugging Battery operated toy dog advert singing an Xmas song in fugging MAY",dr dressed wound suggested take hospital immediately already late oh fun ride one horse open sleigh god damn stupid fugging battery operated toy dog advert singing xmas song fugging may
So absolutely terrible,absolutely terrible
Omg I just accidently burned myself with an iron the other day and it left a huge blister on my leg. This is horrifying.,omg accidently burned iron day left huge blister leg horrifying
Religion of peace am I right?,religion peace right
What lack of creativity in naming your child. Sort of defeats the purpose of a name if 70% of people have the same name,lack creativity naming child sort defeat purpose name people name
I mean it??s way better than the cringe ??tickle the bell?? ??give that like button a hug?? spiel,mean way better cringe tickle bell give like button hug spiel
"Oh my, what an absolute ordeal! I hope the victim's family finds peace after all their suffering.",oh absolute ordeal hope victim family find peace suffering
"""Oh, the right verdict was reached, woo- oh...well, fuck.""",oh right verdict reached woo ohwell fuck
This one has me tearing up.?? It seems like he was a good and kind person.,one tearing seems like good kind person
"So outta the six torturers; three of them were named Muhammad and one was named Mohamad...... F*cking unbelievable......
Peace",outta six torturer three named muhammad one named mohamad fcking unbelievable peace
They have since changed the sentence to  death,since changed sentence death
That intro makes me wanna unsubscribe and subscribe again ??,intro make wanna unsubscribe subscribe
Pathetic. Thought uk was bad .....why all the dumb flipflopping. Useless court system,pathetic thought uk bad dumb flipflopping useless court system
Unbelievable!! ??,unbelievable
I haven't even watched it the whole way. I'd bet whoever stole it was someone that tourterd that young man. You get a group of boys together and it gets worse. Sick.,havent even watched whole way id bet whoever stole someone tourterd young man get group boy together get worse sick
"Just gave you a thumbs up. People are so unappreciative of the work that goes into these videos. The ungrateful can go. There??s billions of people who would love this show! ?? NOW, HIT THAT THUMBS UP FOLKS!!",gave thumb people unappreciative work go video ungrateful go there billion people would love show hit thumb folk
"This was honestly horrific to sit through, I had to pause the video several times and really didn't want to hear any more. I feel so deeply for this young man and his family.",honestly horrific sit pause video several time really didnt want hear feel deeply young man family
I cant believe young muslim men would act like this.....oh wait a minute!,cant believe young muslim men would act like thisoh wait minute
"This is horrific. How could they not think they were going to end him? The sentences are insulting. Absolutely infuriating.

Also, have to laugh at the dude going somewhere else because you said like and sub at the beginning. Wow, just wow. Honestly the only thing that has ever really made me stop watching someone's video is those obnoxious bleeps. I listen with headphones on and those are truly awful.",horrific could not think going end sentence insulting absolutely infuriating also laugh dude going somewhere else said like sub beginning wow wow honestly thing ever really made stop watching someone video obnoxious bleep listen headphone truly awful
Can't these parents think of another name besides Mohammed? Jeez.,cant parent think another name besides mohammed jeez
I'malreadysubscribed hello,imalreadysubscribed hello
What an idiot judge,idiot judge
"""This case takes place in England, when Aquaman didn't get 1 million subscribers..""",case take place england aquaman didnt get million subscriber
thank you for bringing aspects of reality to light,thank bringing aspect reality light
"Muslim religion came outbin the  year 610 how awful what happened to this poor kid. I'm not trolling anyone's faith... but my friends that is not a real religion Christianity is the one and only religion there's scientific proof all around 
This poor young man this is breaking my heart is hurting for what  these monsters what they've done to him.??
God bless ?????????????????",muslim religion came outbin year awful happened poor kid im not trolling anyones faith friend not real religion christianity one religion there scientific proof around poor young man breaking heart hurting monster theyve done god bless
This case is so infuriating,case infuriating
That bomoh should retire. How do you get a vision so wrong lmao,bomoh retire get vision wrong lmao
"that's so weird I usually give it a thumbs up as the video starts. first of all because I enjoy this content and second, I don't wanna forget to like at the end of the video.",thats weird usually give thumb video start first enjoy content second dont wanna forget like end video
"Wonder if they ever found out who stole the laptop.
That person must be freaked out over what happened, knowing it could have been them and they're kinda responsible.

I agree with another comment I saw, there must have been something pretty bad on the laptop.",wonder ever found stole laptop person must freaked happened knowing could theyre kinda responsible agree another comment saw must something pretty bad laptop
That has to be one of the funniest intros yet.,one funniest intro yet
"man, the fact that they refused to bring him to a hospital when the dude was obviously dying should be considered murder! crazy that the family has to appeal.",man fact refused bring hospital dude obviously dying considered murder crazy family appeal
"The Muslim religion will never make sense to me.... no offense... 

Such a terrible case!",muslim religion never make sense no offense terrible case
I feel sick.  Just over a computer or phone or anything material.  That poor young man and his family. Shame on the perpetrators.   Hope they rot in jail.,feel sick computer phone anything material poor young man family shame perpetrator hope rot jail
"How could humans do this to another human?? How did we ever get this ruthless, and uncompassionate??   To know how painful and the suffering they were causing and never flinched is uncomprehensible.",could human another human ever get ruthless uncompassionate know painful suffering causing never flinched uncomprehensible
"I find it disgraceful that the death sentence was reverted to 18 years jail. Having read the judgement of the Federal Court, I am not convinced by their judgement. Apparently, Zulfarhan??s injuries were not proven to be sufficient in the ordinary course of nature to cause death (verbose language adopted from the colonial era). I don??t find that convincing. Surely, 90 burns would be sufficient to cause death? At least a sentence of like 30 years or stuff would be better if the death sentence had to be commuted. What a travesty of justice??",find disgraceful death sentence reverted year jail read judgement federal court not convinced judgement apparently zulfarhans injury not proven sufficient ordinary course nature cause death verbose language adopted colonial era dont find convincing surely burn would sufficient cause death least sentence like year stuff would better death sentence commuted travesty justice
can't you cover a case for once that has a fair ending :(( this ending was heartbreaking,cant cover case fair ending ending heartbreaking
I wonder who took the laptop?  My heart goes out to Zulfarhan's parents.,wonder took laptop heart go zulfarhans parent
What a joke of a judicial system,joke judicial system
There are reasons all the weirdest and most depraved dudes you knew as a teen are in the military now.,reason weirdest depraved dude knew teen military
Malaysian courts truly are governed by monsters to treat the family of the victim this way,malaysian court truly governed monster treat family victim way
The only torture ive heard and seen partially unfortunatly and hate myself for even seeing it was the ghost rider video. Even though the guy getting it was getting what he gave it shows how f -ing ruthless cartels are,torture ive heard seen partially unfortunatly hate even seeing ghost rider video even though guy getting getting gave show f ing ruthless cartel
"To whoever said ""Christians don't do this type of thing"" - Yes they do, Christianity is the most widespread religon, are you saying that billions of people are perfectly innocent of hurting others just because they're religious? Ridiculous.",whoever said christian dont type thing yes christianity widespread religon saying billion people perfectly innocent hurting others theyre religious ridiculous
"We ian miles cheong, and we have this. Malaysia is a awful country.",ian mile cheong malaysia awful country
This one might've just topped the Shakira Spencer video in terms of the worst cases I've seen on your channel,one mightve topped shakira spencer video term worst case ive seen channel
"Oh wow, you mean religious witch doctor mumbo jumbo ""Allah has shown to me that yes, the one who stole your laptop was indeed Zulfarhan"" visions are actually a whole truck load of bullshit? Imagine that!",oh wow mean religious witch doctor mumbo jumbo allah shown yes one stole laptop indeed zulfarhan vision actually whole truck load bullshit imagine
"The penalty is outrageous! By keeping he from getting medical care, and watching him deteriorate is blantant murder.",penalty outrageous keeping getting medical care watching deteriorate blantant murder
No need to subscribe if you're already are... ??,no need subscribe youre already
"That ""doctor"" should lose his medical license. TWICE he saw the trouble this poor kid was in, twice he refused to call the authorities and twice he refused to call an ambulance to take him to the hospital. Despicable.",doctor lose medical license twice saw trouble poor kid twice refused call authority twice refused call ambulance take hospital despicable
"Malaysian here. I remember crying on the day of the sentencing because I remembered how he suffered and yet the perpetrators were set free at the time.

And now reading the comments, I just realized that they tortured him because there might be something suspicious in that missing laptop. ALLEGEDLY, I might say because as far as I know, this was not confirmed or discussed among Malaysian netizens.",malaysian remember cry day sentencing remembered suffered yet perpetrator set free time reading comment realized tortured might something suspicious missing laptop allegedly might say far know not confirmed discussed among malaysian netizens
This is horrifically brutal. That poor lad ????,horrifically brutal poor lad
"D -
No offense but how is it that 6 classmates could??ve joined together to do this with others knowing after the fact? Women don??t do stuff like this - at least not often. How do monsters know each other? Is it like gaydar? Okay you may not know that answer.",no offense classmate couldve joined together others knowing fact woman dont stuff like least not often monster know like gaydar okay may not know answer
"This case has to be AT LEAST a ""homicide by neglect"", I give 0 shits about their ""no intention of killing him"" defense - They SURE AT SHIT didn't do anything to keep him alive after suffering. one more time, SUFFERING this inhumane treatment from people he saw as good friends, maybe even brothers had more time passed!

Imagine the confusion, terror and just... PURE AGONY-- I AM SO UPSET I APOLOGIZE 

Can anyone from Malaysia, perhaps, enlighten me as to what these pathectic, waste of skin and air, excuses for people, will face in regards to the puplic - As in, upon release? 

Last thing - 8 F***KING YEARS?! High profile case my ass, what the actual MOTHE--- *just nonsensical profanity from this point*",case least homicide neglect give shit no intention killing defense sure shit didnt anything keep alive suffering one time suffering inhumane treatment people saw good friend maybe even brother time passed imagine confusion terror pure agony upset apologize anyone malaysia perhaps enlighten pathectic waste skin air excuse people face regard puplic upon release last thing fking year high profile case as actual mothe nonsensical profanity point
"Jeeezzzz   all over a Laptop !!  Disturban  this case is new. 

I FOUND IT F ****** SICK  HOW THEY  KILLED  HANDLED THIS
CASE????????????????????????????????????????????????????????????????

These Bas""""""""s will  NEVER CHANGE IN PRISON.THEY WILL  BE 
IDOLIZED.  ZULFARHAN WOULD HAVE MADE A GOOD MILITARY
OR COP BUT ANOTHER LIFE TAKEN AWAY.....he got framed !!
With that ????????  That P.O.S. had his baby laptop along.
But they hated Zulfar.  
The End......",jeeezzzz laptop disturban case new found f sick killed handled case bass never change prisonthey idolized zulfarhan would made good military cop another life taken awayhe got framed po baby laptop along hated zulfar end
"Oh, this poor guy. And his poor mom. That judge is horrible. I hope they know that hell is hotter than that iron.",oh poor guy poor mom judge horrible hope know hell hotter iron
"Good channel, thank you bye",good channel thank bye
He would have been treated more humanely if he was a prisoner of war ??,would treated humanely prisoner war
I also like the tattoos that always peek out of his black shirts and the way he swings from side to side nonchalantly on his swivel chair staring straight at you with a look of mild destain through the camera.Yeah I reckon I??ve got it bad for him.Pretty amazing presenter too. X?,also like tattoo always peek black shirt way swing side side nonchalantly swivel chair staring straight look mild destain camerayeah reckon ive got bad himpretty amazing presenter x
You think they have enough dudes named Mohammed?,think enough dude named mohammed
"@stormchaser3115...GOOD!! We do not need ANYONE that posts comments like that anywhere NEAR this channel. The AUDACITY!! How u come on someone else's channel and tell them what to say, what u don't like, etc.?!! WE GIVE 0 FUKKS SO U JUST WASTED UR HOT ASS BREATH!! I bet u one of those sloppy, nasty, refrigerator built, linebackers that sit on ur laptop ALL DAY AND NIGHT making BS comments like the one that just landed u on the ""Non Existent"" list!! Have a GN bud????",good not need anyone post comment like anywhere near channel audacity u come someone elses channel tell say u dont like etc give fukks u wasted ur hot as breath bet u one sloppy nasty refrigerator built linebacker sit ur laptop day night making b comment like one landed u non existent list gn bud
"I really fancy him.I think he??s gorgeous!.I love his voice to and the way he tells the story and just gets on with it.Visually,he gives out a bad boy /biker ,rock n?? roll vibe (if that makes any sense).I??d definitely go out with him that??s for sure and I??m pretty sure he has many fans who feel the same way!.Rock on Disturban boy!. X",really fancy himi think he gorgeousi love voice way tell story get itvisuallyhe give bad boy biker rock n roll vibe make senseid definitely go thats sure im pretty sure many fan feel wayrock disturban boy x
Yeah this case is awful ??,yeah case awful
lmfao that intro,lmfao intro
Malaysian law - questionable at best. Was surprised they even agreed to the death sentence during the appeal stage but the last outcome speaks volumes.,malaysian law questionable best surprised even agreed death sentence appeal stage last outcome speaks volume
Bro had me at susbscribepleasethankyoubye,bro susbscribepleasethankyoubye
"That's stupid. 

The intent to ?? isn't in the initial acts with the iron. 

It's in actively preventing their target from obtaining appropriate medical care, thereafter - despite understanding the gravity of his in juries.

Especially as what they did with the iron also actively prevented him from physically accessing help, himself. 

Either the judge is tremendously short-sighted, or ?? changed hands, somewhere...",thats stupid intent isnt initial act iron actively preventing target obtaining appropriate medical care thereafter despite understanding gravity jury especially iron also actively prevented physically accessing help either judge tremendously shortsighted changed hand somewhere
"He suffered for over a week, were told he needed immediate hospital treatment  which they denied him

Unreal",suffered week told needed immediate hospital treatment denied unreal
"Starting a video asking people to subscribe, make me wish  I could subscribe thousand more times,but  I'm antique on this channel ?? I've been here from the beginning! My favorite part is when you do that in the beginning!?? Honestly I am not even joking LOL
Sending you all the love from Ohio!
 I love your channel. You are my all-time favorite!???",starting video asking people subscribe make wish could subscribe thousand timesbut im antique channel ive beginning favorite part beginning honestly not even joking lol sending love ohio love channel alltime favorite
"I actually can't even begin to imagine not only losing your son, but having to listen to the horrific details about what he endured beforehand at the hand of these monsters.",actually cant even begin imagine not losing son listen horrific detail endured beforehand hand monster
"They didn??t just ??make a mistake.?? They chose to become monsters. And when monsters wear uniforms and the law shields them??what??s left to protect the rest of us? If justice costs only 18 years, then cruelty just got a discount.",didnt make mistake chose become monster monster wear uniform law shield themwhats left protect rest u justice cost year cruelty got discount
"Had to start a new account and this was one of the first channels I RAN to, to subscribe! Best crime channel on the tube!",start new account one first channel ran subscribe best crime channel tube
that was so rude. at least he has to listen to you. your contents are topnotch and i like your deep voice man. dont let you down bc of these brookies. when they talk low you go high,rude least listen content topnotch like deep voice man dont let bc brookies talk low go high
"That poor, poor lad, whole life ahead of him. My heart breaks for his family.",poor poor lad whole life ahead heart break family
Regardless of all this scary torture stuff you??ll always be my girlfriend disturban.,regardless scary torture stuff youll always girlfriend disturban
"The doctor needs to be charged too. A blind man could see those were not accidental wounds. Why would his face and hands not be affected? The doctor should have sought the authorities out of concern for the patient, instead of allowing him to be taken away by his attackers. How could a laptop be more important than a human being's life?",doctor need charged blind man could see not accidental wound would face hand not affected doctor sought authority concern patient instead allowing taken away attacker could laptop important human being life
"Subscibed - just to spite that snowflake's comment. If you ever see this, 'Stainchaser' or whatever it was... I've watched a tonnn of this guy's videos and I didn't subscribe until your whiny, weak, unsolicited crybaby comment. So, thanks for sucking! Which Im sure is probably also what you hear 5 or 10 times a night at your night job.",subscibed spite snowflake comment ever see stainchaser whatever ive watched tonnn guy video didnt subscribe whiny weak unsolicited crybaby comment thanks sucking im sure probably also hear time night night job
"Well - this one is seriously evil act. The 6 primary suspects would have to consider themselves extremely lucky not to be executed.
To Zulfarhan??s family. I cannot, for the life of me, understand what these 18 fellow students were thinking when they tortured your wonderful son.
To raise such a dutiful and loving son and have his life taken in such a horrific way is unforgivable.
I cannot understand and only hope you both eventually find peace in your hearts so you can continue your lives - so very sad for you both. ??",well one seriously evil act primary suspect would consider extremely lucky not executed zulfarhans family cannot life understand fellow student thinking tortured wonderful son raise dutiful loving son life taken horrific way unforgivable cannot understand hope eventually find peace heart continue life sad
Gross failure of justice,gross failure justice
So what happened with the laptop? Was it ever found?,happened laptop ever found
"All this over a laptop?

Makes me wonder if there was something on that laptop that could have gotten dude in a lot of trouble.

Maybe some ""bad porn"" or something like that.",laptop make wonder something laptop could gotten dude lot trouble maybe bad porn something like
Malaysia mentioned... sadly in a bad way :(,malaysia mentioned sadly bad way
Those dumbass really got light punishment just because their parent has status in military,dumbass really got light punishment parent status military
Thumbnail looks like that portal guy from Spiderman,thumbnail look like portal guy spiderman
"Intro is giving ""thank you, come again"" ???",intro giving thank come
"How could anyone do this? And where were the officers? They should be charged too.
The pain he was in must have been unbearable.",could anyone officer charged pain must unbearable
How can so many boys all be so evil!? It would have taken just ONE to say something to a superior!!,many boy evil would taken one say something superior
"How to say intent to kill, while also trying to verbally maintain that there was no intent to kill

Is that double-speak...? A contradiction? Something fishy.",say intent kill also trying verbally maintain no intent kill doublespeak contradiction something fishy
"I remember hearing this case when it came out, absolutely fucking disturbing. I was shocked the entire way through and even more shocked by the sentencing.",remember hearing case came absolutely fucking disturbing shocked entire way even shocked sentencing
Skip the intro: 00:01,skip intro
These guys were terrorists.. truly sickening,guy terrorist truly sickening
And this comes from a country that puts people to death for drugs.,come country put people death drug
Ugh! Why tf didn??t the doctor call the police?! That??s insane n so sad ?? Rip ???,ugh tf didnt doctor call police thats insane n sad rip
I love how basically all of their names are muhammad. not surprised they did that at all.,love basically name muhammad not surprised
Starting a video by saying subscribe before anyone has a chance to view the content is pretty dope. Just immediately subbed and dropped a like.,starting video saying subscribe anyone chance view content pretty dope immediately subbed dropped like
"0:03 already subbed or i
would xoxooxox love disturban thank you for your videos always very informative and you are so kind??",already subbed would xoxooxox love disturban thank video always informative kind
??.no??.,no
Muslims.....nuff said,muslimsnuff said
"Is it just me, or does it look like Akmal has an odd number of teeth on the top row? There??s a tooth centered rather than the meeting or gap between teeth ??",look like akmal odd number teeth top row there tooth centered rather meeting gap teeth
Your speedy subscribe intros are a highlight of your videos ??,speedy subscribe intro highlight video
"I heard about this case a while ago in another channel, it's heartbreaking and infuriating.",heard case ago another channel heartbreaking infuriating
Lmao i just love his intros! ???,lmao love intro
0:02 hahahaha!,hahahaha
So close to 1 MILLION!!! ?????? so proud how far you have come. Shows how well you create your context and i love the humor you have . ?,close million proud far come show well create context love humor
"""subscribe mkay bye"" ?? got me",subscribe mkay bye got
"Next video, you should take a suitcase and put it somewhere when you say ''This case takes place''",next video take suitcase put somewhere say case take place
Sickos,sickos
Who did this?!?! ??Mohammad????. Which one?,mohammad one
"What a pathetic joke of a justice system . They robbed the parents of justice and made that poor kids life for nothing, and basically a joke in allowing that kind of violence to be tolerated.. the second judgment should have been upheld",pathetic joke justice system robbed parent justice made poor kid life nothing basically joke allowing kind violence tolerated second judgment upheld
"This SUB
Takes SCRIBE",sub take scribe
Absolutely despicable crime  all over a laptop unbelievable what some humans are capable of????????,absolutely despicable crime laptop unbelievable human capable
I can't think of any worse modern day torture. Horrendous ??,cant think worse modern day torture horrendous
